CompoundName,ModelID,EC50,LowerAsymptote,UpperAsymptote,Slope,MinimumDose,MaximumDose,DoseUnit
CIL55,ACH-000603,9.082075746747757,0.07042496194143014,1.0099999999454785,-12.074767688285352,3e-4,10,uM
CIL55,ACH-000605,8.466313170740388,0.4449480463590797,1.0099999999704337,-6.293438899498746,3e-4,10,uM
CIL55,ACH-000609,7.957124373559876,0.023631605991319644,1.0099999913244542,-8.235485308711025,3e-4,10,uM
CIL55,ACH-000615,3.8311761517054674,0.5301647596533411,1.0099999994117808,-5.867832497894118,3e-4,10,uM
CIL55,ACH-000623,10.904502180033655,0.06357952482005805,0.9719566816805928,-17.945836960254898,3e-4,10,uM
CIL55,ACH-000624,8.632655952061738,0,0.9947681628140644,-2.931860677105905,3e-4,10,uM
CIL55,ACH-000625,0.006641003638734732,0.9203534990517168,1.009999999719244,-28.938444564240413,3e-4,10,uM
CIL55,ACH-000627,10.562881317161683,0.018881154094758133,0.9653799145600456,-5.447442944434275,3e-4,10,uM
CIL55,ACH-000630,5.2265375813812955,0.7149048877396029,0.9688861212681336,-18.00430334555602,3e-4,10,uM
CIL55,ACH-000632,6.610353175022622,0.3910952706154014,0.8696706250581366,-3.8289950788371505,3e-4,10,uM
CIL55,ACH-000633,7.1054707324124795,6.710640303143443e-6,0.985561909417351,-4.169469135257223,3e-4,10,uM
CIL55,ACH-000635,7.32667143092249,0.01653864556223681,1.00999999956467,-7.663259998939777,3e-4,10,uM
CIL55,ACH-000639,2.362121697450791,0,1.01,-1.4529043296966606,3e-4,10,uM
CIL55,ACH-000640,11.487893126651931,0.0035092663446548815,1.01,-17.818955523015113,3e-4,10,uM
CIL55,ACH-000643,5.293510148873619,0.561642992944603,0.9786472471562084,-19.733743340447315,3e-4,10,uM
CIL55,ACH-000647,4.641668857566119,0.5194737717583753,0.9909249254522328,-3.4022658020465792,3e-4,10,uM
CIL55,ACH-000648,0.0017039941293548026,0.9065089786978492,0.999357223945562,-16.359831224026678,3e-4,10,uM
CIL55,ACH-000651,0.0609544449535894,1.0035417677175376,1.009999998523408,-7.676474751285576,3e-4,10,uM
CIL55,ACH-000652,11.937424230553065,0,1.0076021877449697,-2.228115782211889,3e-4,10,uM
CIL55,ACH-000656,6.19055416856076,0.3210126705128356,0.9714551425948368,-5.747400470657229,3e-4,10,uM
CIL55,ACH-000658,7.456593568118386,2.7544075258330572e-6,0.9684230183489092,-3.728063016753172,3e-4,10,uM
CIL55,ACH-000663,0.006606912213907419,0.882371827946398,1.0099999984624988,-29.369008263463485,3e-4,10,uM
CIL55,ACH-000664,6.5976946999522275,0.04636369033195362,1.0099999999181883,-13.71715228130954,3e-4,10,uM
CIL55,ACH-000667,7.015328734308221,0,0.9714327553469122,-4.453544462864482,3e-4,10,uM
CIL55,ACH-000670,0.010204735006873062,1.01,1.01,-0.20764360760228295,3e-4,10,uM
CIL55,ACH-000671,4.301887886684547,0.27207766991060006,1.0099999915612785,-3.925049782390659,3e-4,10,uM
CIL55,ACH-000674,11.611290522992727,0,0.9222132323891314,-3.423405331019985,3e-4,10,uM
CIL55,ACH-000677,0.006584167852849831,0.8448533478376705,0.8678337319462897,-19.88137797653968,3e-4,10,uM
CIL55,ACH-000681,14.715085458922301,0.02087248599974103,0.9827831859236484,-2.580891440443934,3e-4,10,uM
CIL55,ACH-000685,155.4887317926461,0.3873219713536043,1.009989615416374,-0.7542369388181813,3e-4,10,uM
CIL55,ACH-000686,9.85518735134596,0.1209379532731449,1.01,-24.004787231144594,3e-4,10,uM
CIL55,ACH-000692,10.048105654468273,0.19792205981848923,0.991481570419331,-6.041552652472584,3e-4,10,uM
CIL55,ACH-000693,0.003376652264496027,0.9896394530645364,1.0099999976567746,-13.377353676062278,3e-4,10,uM
CIL55,ACH-000694,30.51473733237697,0,1.01,-1.9801087477234491,3e-4,10,uM
CIL55,ACH-000699,6.516054326066437,0.09754456665959274,1.009999997353722,-7.097410012245337,3e-4,10,uM
CIL55,ACH-000707,7.5187354750477855,0.8879505315226416,1.0099999975145704,-15.102260462332858,3e-4,10,uM
CIL55,ACH-000711,11.280199654235798,0.01651350344824761,1.0099999999213578,-9.76819109652376,3e-4,10,uM
CIL55,ACH-000713,118.53612739668158,8.29105629449708e-5,0.998530789348471,-0.4691059217515042,3e-4,10,uM
CIL55,ACH-000717,10.4075730089033,0.011102233397882995,1.0099999999599178,-4.4921368170375775,3e-4,10,uM
CIL55,ACH-000718,8.475177068843813,0.6598878400649315,1.01,-30.569086066377597,3e-4,10,uM
CIL55,ACH-000719,42.37426945425772,0,1.01,-0.41789217518786287,3e-4,5,uM
CIL55,ACH-000720,10.843194600593185,0.07993290468221897,1.0099999999681684,-3.1429027700424097,3e-4,10,uM
CIL55,ACH-000721,10.09997541048113,0,1.01,-20.77153648565005,3e-4,10,uM
CIL55,ACH-000723,9.192171913999484,0.11071194765656488,1.0099996269734723,-12.054852757444026,3e-4,10,uM
CIL55,ACH-000724,11.339821718929668,0,1.01,-1.145153763116012,3e-4,10,uM
CIL55,ACH-000730,7.228406261090311,0.01581077068438119,1.0099999998799678,-7.977598049297203,3e-4,10,uM
CIL55,ACH-000731,54.31314186516628,0,0.9524926689563368,-0.4315544048447219,3e-4,10,uM
CIL55,ACH-000733,9.43753931634454,0.5320099067143186,0.9780393240760824,-19.99756507807361,3e-4,10,uM
CIL55,ACH-000738,9.745225216835161,0.07912770154236326,1.0099999999446914,-6.1241728394823065,3e-4,10,uM
CIL55,ACH-000739,6.015437876545684,0.0014636052707068048,1.0045310177854796,-4.538801708365478,3e-4,5,uM
CIL55,ACH-000748,8.409447245913793,0.4649106853892784,1.0099999998780165,-2.10074203879768,3e-4,10,uM
CIL55,ACH-000750,6.174593929116015,0,0.9975449065020804,-2.9710339785502424,3e-4,10,uM
