# MeSH tree C04 (Neoplasms) descriptor -> tree number. One row per pair;
# a descriptor may sit at several nodes. Source: NLM MeSH SPARQL endpoint,
# https://id.nlm.nih.gov/mesh/sparql (inference on).
# Regenerate: python scripts/atlas_baseline.py --refresh-mesh
D013365	C04.588.443.591.824.885
D013544	C04.588.805.776
D013581	C04.182.867
D013584	C04.557.450.565.835
D013584	C04.557.450.795.875
D013586	C04.557.450.565.380.690.500
D013724	C04.557.465.910
D013736	C04.588.322.762
D013736	C04.588.945.440.915
D013798	C04.557.475.750.875
D013798	C04.588.322.455.765
D013899	C04.588.894
D013945	C04.557.435.850
D013945	C04.588.894.949.500
D013953	C04.588.894.949
D013955	C04.182.902
D013964	C04.588.322.894
D013964	C04.588.443.915
D014062	C04.588.443.591.925
D014067	C04.588.443.665.710.684.800
D014134	C04.588.443.925
D014134	C04.588.894.797.760
D014328	C04.557.465.955
D014328	C04.850.908
D014402	C04.445.810
D014402	C04.651.800
D014402	C04.700.700
D014496	C04.182.946
D014516	C04.588.945.947.940
D014523	C04.588.945.947.945
D014565	C04.588.945
D014571	C04.588.945.947
D014582	C04.557.450.565.465.500.850
D014582	C04.588.805.309.850
D014594	C04.588.945.418.948
D014604	C04.588.364.978
D014625	C04.588.945.418.955
D014685	C04.588.945.956
D014846	C04.588.945.418.968
D014983	C04.834.867
D015043	C04.730.713.988
D015173	C04.588.614.250.195.885
D015174	C04.588.614.250.803.342
D015175	C04.557.470.035.625
D015175	C04.588.322.609.792
D015179	C04.588.274.476.411.307
D015192	C04.588.614.250.195.411
D015266	C04.557.465.625.650.240.325
D015266	C04.557.470.200.025.370.325
D015266	C04.557.580.625.650.240.325
D015408	C04.557.470.200.025.290.500
D015408	C04.588.274.761.500.124
D015408	C04.588.322.475.500.124
D015448	C04.557.337.428.080
D015451	C04.557.337.428.080.125
D015452	C04.557.337.428.600.600
D015456	C04.557.337.428.100
D015458	C04.557.337.428.580
D015459	C04.557.337.428.580.100
D015461	C04.557.337.428.565.750
D015461	C04.557.337.428.580.075
D015463	C04.557.337.428.565
D015464	C04.557.337.539.250
D015465	C04.557.337.539.250.300
D015466	C04.557.337.539.250.400
D015470	C04.557.337.539.275
D015471	C04.557.337.539.275.125
D015472	C04.557.337.539.275.300
D015473	C04.557.337.539.275.700
D015477	C04.557.337.539.522
D015479	C04.557.337.539.520
D015529	C04.182.198
D015620	C04.557.227
D015624	C04.588.614.550.500.225
D015624	C04.730.856.490.225
D015674	C04.588.531
D015811	C04.588.364.978.400
D015831	C04.557.450.565.575.610
D016066	C04.588.894.797.640.700
D016080	C04.182.044
D016080	C04.588.614.250.387.100
D016393	C04.557.386.480.150
D016399	C04.557.386.480.750
D016400	C04.557.386.480.493
D016403	C04.557.386.480.150.585
D016410	C04.557.386.480.750.800
D016411	C04.557.386.480.750.825
D016483	C04.557.386.480.150.450
D016518	C04.557.465.625.650.595.610.500
D016518	C04.557.580.600.580.590.655
D016518	C04.557.580.600.610.595.610.500
D016518	C04.700.631.655
D016543	C04.588.614.250
D016545	C04.588.614.250.195.205.200
D016582	C04.557.337.385
D016583	C04.557.337.100
D016586	C04.557.450.590.350
D016606	C04.588.322.894.800
D016606	C04.588.443.915.800
D016609	C04.692
D016715	C04.445.435.500
D016715	C04.651.435.500
D016864	C04.700.600
D016889	C04.588.945.418.948.585
D017043	C04.182.197
D017169	C04.666
D017253	C04.557.580.600.580.590
D017253	C04.700.631
D017254	C04.697.645.500
D017599	C04.557.465.625
D017599	C04.557.580.625
D017600	C04.557.465.625.630
D017600	C04.557.580.625.630
D017624	C04.557.435.595.950
D017624	C04.588.945.947.535.585.950
D017624	C04.700.900.950
D017728	C04.557.386.480.750.399
D017731	C04.557.386.480.750.800.528
D017733	C04.588.443.591.545.500
D017733	C04.834.512.513.500
D017824	C04.182.089.265
D018190	C04.557.375
D018191	C04.557.375.450.450
D018192	C04.557.375.460.465
D018192	C04.557.450.692.500
D018193	C04.557.435
D018194	C04.557.435.110
D018195	C04.557.435.135
D018195	C04.557.450.795.135
D018196	C04.557.435.250
D018196	C04.557.470.200.150
D018197	C04.557.435.380
D018198	C04.557.435.525
D018199	C04.557.435.530
D018199	C04.557.450.795.530
D018200	C04.557.435.540
D018201	C04.557.435.600
D018201	C04.588.945.947.535.790
D018202	C04.557.435.675
D018202	C04.588.894.797.520.867
D018203	C04.557.435.775
D018203	C04.557.450.795.332.500
D018204	C04.557.450
D018205	C04.557.450.550
D018206	C04.557.450.550.100
D018207	C04.557.450.550.125
D018207	C04.557.450.692.249
D018208	C04.557.450.550.420.425
D018208	C04.557.450.795.465.425
D018209	C04.557.450.550.710
D018210	C04.557.450.565.265.270
D018211	C04.557.450.565.280.280
D018211	C04.557.450.795.300.280
D018212	C04.557.450.565.380.380
D018212	C04.557.450.565.575.420
D018213	C04.557.450.565.575
D018214	C04.557.450.565.575.400
D018214	C04.557.450.565.590.340.360
D018215	C04.557.450.565.575.600
D018216	C04.557.450.565.575.610.615
D018217	C04.557.450.565.575.650.655
D018217	C04.557.450.795.620.655
D018218	C04.557.450.565.590
D018219	C04.557.450.565.590.425.350
D018220	C04.557.450.565.590.340.345
D018221	C04.557.450.565.590.340.400
D018222	C04.557.450.565.590.340.410
D018223	C04.557.450.565.590.350.320
D018223	C04.557.450.795.350.320
D018224	C04.557.450.565.590.550
D018225	C04.557.450.565.590.595
D018225	C04.557.470.625
D018226	C04.557.450.565.590.595.350
D018226	C04.557.470.625.350
D018227	C04.557.450.565.800
D018227	C04.557.450.795.800
D018228	C04.557.450.565.825
D018228	C04.557.450.795.870
D018229	C04.557.450.590.450.125
D018230	C04.557.450.590.450.455
D018231	C04.557.450.590.450.465
D018232	C04.557.450.590.550.660.665
D018232	C04.557.450.795.550.660.665
D018233	C04.557.450.590.550.660.675
D018233	C04.557.450.795.550.660.675
D018234	C04.557.450.590.775
D018234	C04.557.450.795.775
D018235	C04.557.450.590.800
